neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,review_scores_cleanliness,review_scores_location,amenities_count,wifi,kitchen,tv,air_conditioning,washer,dryer,dishwasher,microwave,refrigerator,workspace,gym,pets_allowed,parking,elevator,self_check_in,stay_length,checkin_month
Washington Heights,Manhattan,40.84072,-73.93907,Entire home/apt,3,1.5,2.0,2.0,4.75,4.67,4.58,28,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,30,7
Jackson Heights,Queens,40.75292,-73.89521,Private room,2,1.0,,1.0,4.54,4.71,4.75,27,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,30,6
Washington Heights,Manhattan,40.84245691119762,-73.94069427030655,Entire home/apt,2,1.0,1.0,1.0,4.79,4.86,4.79,29,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,30,6
Washington Heights,Manhattan,40.84187,-73.93908,Entire home/apt,2,1.0,1.0,1.0,4.53,4.6,4.27,30,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,30,7
Washington Heights,Manhattan,40.84169,-73.94112,Private room,1,1.5,,1.0,4.3,4.2,4.6,31,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,30,7
Midtown,Manhattan,40.74787,-73.9868,Private room,4,1.0,,4.0,4.68,4.74,4.89,27,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,6
Flatbush,Brooklyn,40.65211,-73.96429,Private room,4,1.0,2.0,2.0,5.0,5.0,5.0,38,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,30,8
Fort Greene,Brooklyn,40.69006,-73.97348,Entire home/apt,2,1.0,,1.0,4.96,4.88,4.96,31,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,30,11
Bay Ridge,Brooklyn,40.6358691456318,-74.02307704123753,Shared room,2,2.0,3.0,4.0,4.83,4.89,4.76,56,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,6
Greenpoint,Brooklyn,40.7326,-73.95402,Private room,1,1.0,,1.0,5.0,4.5,5.0,20,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.69008,-73.93555,Private room,2,1.0,1.0,1.0,4.9,4.84,4.6,44,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,3,6
East Harlem,Manhattan,40.790134,-73.94883,Entire home/apt,3,1.0,1.0,2.0,4.64,4.71,4.43,39,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,90,8
Kips Bay,Manhattan,40.73984909057617,-73.98014831542969,Entire home/apt,4,1.0,1.0,2.0,4.33,3.83,4.33,38,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,8
Bayswater,Queens,40.61092,-73.76805,Private room,2,1.0,,1.0,4.77,4.85,4.53,32,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,2,6
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,1.0,1.0,,5.0,4.0,5.0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,30,6
Arverne,Queens,40.59221,-73.79945,Entire home/apt,4,1.0,2.0,2.0,5.0,4.91,4.73,37,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,30,6
Harlem,Manhattan,40.81576,-73.94057,Entire home/apt,2,1.0,1.0,1.0,4.33,4.22,4.22,12,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,30,8
East Flatbush,Brooklyn,40.64169041610329,-73.94951181592295,Private room,1,,,1.0,,,,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.68544,-73.95846,Private room,1,1.5,3.0,1.0,,,,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,30,6
Bushwick,Brooklyn,40.69280715026867,-73.91447816577336,Private room,1,1.0,,1.0,5.0,5.0,4.72,32,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,3,7
Inwood,Manhattan,40.86576,-73.9242,Private room,2,2.0,,1.0,4.0,3.5,3.5,10,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,30,6
Inwood,Manhattan,40.8657,-73.92225,Private room,2,2.0,,1.0,3.5,3.5,3.75,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,6
Mount Eden,Bronx,40.84224,-73.92131,Private room,2,1.0,,1.0,4.86,4.86,4.43,16,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,30,6
Greenpoint,Brooklyn,40.72773,-73.94898,Private room,2,,,,4.92,4.66,4.89,33,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,7,7
Hell's Kitchen,Manhattan,40.76747,-73.98942,Entire home/apt,2,1.0,,1.0,4.83,4.83,4.92,16,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,30,2
Sunnyside,Queens,40.74636,-73.9174,Private room,1,1.0,,2.0,4.75,4.6,4.85,50,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,30,6
East Elmhurst,Queens,40.75796,-73.88824,Entire home/apt,8,1.0,3.0,6.0,4.88,4.9,4.8,42,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,30,6
Jamaica,Queens,40.68583,-73.77821,Entire home/apt,4,1.0,1.0,2.0,4.92,4.85,4.72,50,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,31,10
East Harlem,Manhattan,40.78878,-73.9416,Entire home/apt,1,,1.0,,4.0,3.71,4.14,30,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,40,12
St. Albans,Queens,40.69434,-73.76712,Private room,2,,,,4.6,4.73,4.8,36,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,30,6
Upper West Side,Manhattan,40.78312,-73.98338,Entire home/apt,2,1.0,1.0,1.0,4.62,4.46,5.0,33,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,30,7
Forest Hills,Queens,40.71194,-73.85454,Entire home/apt,6,,2.0,,4.36,4.4,4.8,52,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,60,6
Upper West Side,Manhattan,40.78288,-73.98354,Entire home/apt,4,2.0,2.0,1.0,4.55,4.64,4.91,38,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,30,8
Upper West Side,Manhattan,40.78136,-73.98408,Entire home/apt,4,1.0,2.0,2.0,4.92,4.85,5.0,27,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,6
Upper West Side,Manhattan,40.78308,-73.9842,Entire home/apt,2,1.0,1.0,1.0,4.74,4.48,5.0,25,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,6
Upper West Side,Manhattan,40.78261,-73.98537,Entire home/apt,4,1.0,2.0,2.0,4.69,4.63,5.0,40,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,30,8
Upper West Side,Manhattan,40.78266,-73.98574,Entire home/apt,2,1.0,1.0,1.0,4.94,4.81,5.0,26,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,8
Upper West Side,Manhattan,40.78252,-73.98368,Entire home/apt,2,1.0,1.0,1.0,4.94,5.0,4.94,25,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,7
Upper West Side,Manhattan,40.78281,-73.98377,Entire home/apt,2,1.0,1.0,1.0,4.58,4.08,5.0,42,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,30,8
Upper West Side,Manhattan,40.78287,-73.98337,Entire home/apt,2,1.0,1.0,1.0,5.0,4.62,4.85,27,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,30,10
Kips Bay,Manhattan,40.73947,-73.98266,Private room,1,1.0,2.0,1.0,4.68,4.55,5.0,21,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,30,8
Rego Park,Queens,40.73582,-73.85646,Private room,2,1.0,2.0,2.0,4.92,4.9,4.77,41,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,6
Sunset Park,Brooklyn,40.65362,-74.00206,Private room,2,1.0,,1.0,5.0,4.71,4.86,35,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,30,7
Sunset Park,Brooklyn,40.65388,-74.00239,Private room,2,1.0,1.0,,5.0,4.78,5.0,39,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,30,10
College Point,Queens,40.79178,-73.84608,Entire home/apt,4,1.0,2.0,1.0,5.0,5.0,5.0,56,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,30,9
East Village,Manhattan,40.72738,-73.98627,Entire home/apt,2,1.0,1.0,1.0,5.0,4.93,5.0,40,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,30,10
East Flatbush,Brooklyn,40.63708,-73.93574,Private room,5,1.0,2.0,3.0,4.9,4.91,4.54,42,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,3,6
Sunset Park,Brooklyn,40.665882,-73.994652,Private room,2,1.0,,1.0,4.93,5.0,4.71,50,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,30,8
Hell's Kitchen,Manhattan,40.75575,-73.99496,Entire home/apt,2,1.0,1.0,1.0,4.82,4.84,4.58,29,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,30,6
Midtown,Manhattan,40.74826,-73.98727,Entire home/apt,6,1.0,,3.0,4.68,4.61,4.83,33,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,7
Midtown,Manhattan,40.74687,-73.98891,Entire home/apt,5,,,3.0,4.56,4.58,4.82,36,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,7
Inwood,Manhattan,40.86599,-73.92249,Private room,2,,,,,,,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,7
Inwood,Manhattan,40.86608,-73.92436,Private room,2,2.0,,1.0,,,,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,6
Midtown,Manhattan,40.75458,-73.96433,Entire home/apt,3,1.0,,1.0,4.89,5.0,5.0,11,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,30,7
Mott Haven,Bronx,40.8076122084134,-73.92372831460365,Entire home/apt,5,2.0,3.0,3.0,4.33,4.33,4.0,47,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,30,7
Upper East Side,Manhattan,40.76399612426758,-73.96626281738281,Entire home/apt,3,1.0,,1.0,4.88,4.63,4.75,36,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,30,8
East New York,Brooklyn,40.67528,-73.88475,Entire home/apt,6,2.0,3.0,5.0,4.99,5.0,4.74,43,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,30,6
Ditmars Steinway,Queens,40.77408,-73.90483,Private room,1,,1.0,,4.56,4.63,4.48,35,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,30,7
Upper East Side,Manhattan,40.78385,-73.95258,Entire home/apt,4,1.0,1.0,2.0,,,,32,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,30,7
Inwood,Manhattan,40.86349,-73.92735,Private room,2,1.0,,1.0,4.78,4.78,4.67,26,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,30,6
Long Island City,Queens,40.759941383941424,-73.92955330588735,Private room,1,1.0,,1.0,4.33,4.17,4.0,14,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,30,9
Financial District,Manhattan,40.70471,-74.01059,Entire home/apt,6,2.0,2.0,3.0,4.86,5.0,4.93,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,30,8
East Harlem,Manhattan,40.79377,-73.94722,Private room,2,2.0,1.0,1.0,4.5,5.0,4.75,31,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,30,7
East Harlem,Manhattan,40.79266357421875,-73.94670104980469,Entire home/apt,2,1.0,1.0,1.0,5.0,5.0,5.0,9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,30,7
Flatbush,Brooklyn,40.65278,-73.95744,Private room,4,1.0,,1.0,4.47,4.76,4.11,17,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,30,6
Maspeth,Queens,40.71599060603165,-73.91242078578676,Private room,2,1.0,,1.0,4.74,4.52,4.6,39,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1
Bedford-Stuyvesant,Brooklyn,40.68633,-73.94677,Private room,4,1.0,2.0,2.0,4.69,4.64,4.57,59,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,6
Harlem,Manhattan,40.8169,-73.94414,Private room,1,1.0,,1.0,5.0,4.94,5.0,47,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,30,6
Hell's Kitchen,Manhattan,40.76525,-73.99457,Entire home/apt,4,1.0,2.0,2.0,5.0,5.0,5.0,14,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,30,8
Kew Gardens,Queens,40.709103,-73.83313,Private room,1,2.5,,1.0,4.89,4.94,5.0,52,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,30,8
Sunset Park,Brooklyn,40.65518,-74.00206,Private room,2,1.0,,1.0,4.67,4.67,5.0,41,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,30,7
Inwood,Manhattan,40.86382,-73.92253,Private room,2,2.0,,1.0,,,,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,6
Prospect Heights,Brooklyn,40.681374,-73.9711,Entire home/apt,2,,1.0,,4.98,4.96,4.93,63,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,12,8
Williamsburg,Brooklyn,40.71233,-73.94299,Entire home/apt,5,2.5,2.0,3.0,5.0,4.89,5.0,29,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,30,7
Williamsbridge,Bronx,40.87176,-73.85625,Entire home/apt,8,1.0,2.0,2.0,4.48,4.43,4.52,44,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,30,6
Clinton Hill,Brooklyn,40.68203,-73.96318,Entire home/apt,4,1.0,1.0,2.0,4.94,4.85,4.9,37,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,30,8
East New York,Brooklyn,40.67174,-73.88453,Private room,2,1.0,,1.0,4.73,4.81,4.61,39,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,6
Bushwick,Brooklyn,40.68866202769293,-73.9199250203629,Private room,2,,,1.0,4.9,4.79,4.59,34,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,3,7
Bushwick,Brooklyn,40.69837,-73.91916,Private room,2,1.0,,1.0,5.0,5.0,5.0,7,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,30,6
Williamsburg,Brooklyn,40.71689,-73.96291,Entire home/apt,2,1.0,1.0,1.0,,,,14,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,30,10
Greenpoint,Brooklyn,40.7357,-73.95503,Entire home/apt,6,2.5,4.0,3.0,,,,24,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,30,6
Upper East Side,Manhattan,40.76222,-73.96198,Entire home/apt,2,1.0,1.0,1.0,4.5,3.88,4.75,27,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,7
Washington Heights,Manhattan,40.84291,-73.94269,Private room,1,1.0,,1.0,5.0,4.79,4.93,40,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,30,8
Upper East Side,Manhattan,40.76049,-73.96167,Entire home/apt,4,1.0,2.0,2.0,4.73,4.64,4.82,26,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,7
Upper East Side,Manhattan,40.76029,-73.96137,Entire home/apt,4,1.0,2.0,2.0,4.77,4.85,4.92,25,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,30,8
Upper East Side,Manhattan,40.7622,-73.96057,Entire home/apt,4,1.0,2.0,2.0,4.67,4.67,4.89,26,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,7
Upper East Side,Manhattan,40.76242,-73.96142,Entire home/apt,2,1.0,1.0,1.0,4.75,4.58,4.75,25,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,30,8
Upper East Side,Manhattan,40.76041,-73.96192,Entire home/apt,4,1.0,2.0,2.0,4.87,4.53,4.87,39,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,30,11
Upper East Side,Manhattan,40.76214,-73.9613,Entire home/apt,4,1.0,2.0,2.0,4.71,4.71,4.71,26,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,8
Upper East Side,Manhattan,40.76036,-73.96048,Entire home/apt,4,,2.0,2.0,4.81,4.56,4.88,42,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,30,7
Upper East Side,Manhattan,40.7603,-73.96081,Entire home/apt,3,1.0,2.0,2.0,4.82,4.71,4.76,26,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,8
Upper East Side,Manhattan,40.762010551703895,-73.96190369839373,Entire home/apt,2,1.0,1.0,1.0,4.53,4.4,4.8,40,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,30,7
Upper East Side,Manhattan,40.76088,-73.96012,Entire home/apt,4,1.0,2.0,2.0,4.75,4.83,4.92,42,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,30,8
Upper East Side,Manhattan,40.76235,-73.9614,Entire home/apt,4,1.0,2.0,2.0,4.83,4.5,4.92,30,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,30,8
East Flatbush,Brooklyn,40.64636,-73.95027,Private room,2,1.0,,1.0,4.5,4.5,4.0,45,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,30,6
Stuyvesant Town,Manhattan,40.73524,-73.97599,Entire home/apt,4,2.0,2.0,2.0,,,,15,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.6781,-73.91492,Private room,2,1.0,2.0,2.0,4.94,5.0,4.48,46,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,30,6
Allerton,Bronx,40.86982,-73.84657,Private room,4,1.0,2.0,2.0,5.0,4.5,4.25,25,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,30,6
Inwood,Manhattan,40.86457,-73.92214,Private room,1,2.0,,1.0,5.0,5.0,5.0,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.67786,-73.93133,Private room,4,1.5,2.0,1.0,5.0,5.0,5.0,54,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,30,6
Williamsburg,Brooklyn,40.71396,-73.94837,Private room,2,1.0,1.0,1.0,4.84,4.83,4.9,46,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,30,8
Bath Beach,Brooklyn,40.59832911104788,-74.00588037596401,Private room,1,1.0,,1.0,,,,12,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.68400961152581,-73.95610001593856,Entire home/apt,4,,2.0,2.0,4.73,4.64,4.64,42,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,30,11
Midtown,Manhattan,40.74823,-73.98825,Entire home/apt,6,1.0,,3.0,4.64,4.72,4.86,36,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,6
East Village,Manhattan,40.72231,-73.98215,Entire home/apt,2,1.0,1.0,1.0,4.78,4.75,4.78,27,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,30,7
Morris Heights,Bronx,40.85177,-73.91254,Entire home/apt,2,1.0,2.0,2.0,4.8,4.9,4.23,19,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,30,6
Crown Heights,Brooklyn,40.67671,-73.95877,Private room,1,1.0,,1.0,,,,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,8
Greenpoint,Brooklyn,40.72923,-73.95635,Private room,2,1.0,,1.0,4.0,5.0,5.0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Greenpoint,Brooklyn,40.7312,-73.95681,Private room,2,1.0,,1.0,5.0,5.0,5.0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Washington Heights,Manhattan,40.840463940853574,-73.94103162138767,Private room,1,1.5,,1.0,4.36,4.27,4.91,32,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,30,8
Washington Heights,Manhattan,40.842265669911775,-73.94059197316203,Private room,2,1.5,,1.0,4.57,4.57,4.14,45,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,30,8
Washington Heights,Manhattan,40.84213,-73.94079,Private room,2,1.5,,1.0,4.85,4.85,5.0,31,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,30,8
Upper West Side,Manhattan,40.78267,-73.9835,Entire home/apt,4,1.0,2.0,3.0,4.25,4.25,4.88,45,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,30,9
Upper West Side,Manhattan,40.781,-73.98375,Entire home/apt,2,1.0,1.0,1.0,4.53,4.53,5.0,27,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,30,7
East Harlem,Manhattan,40.7921433,-73.93665899999999,Entire home/apt,4,1.0,1.0,1.0,4.0,3.7,4.2,31,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,30,7
East Harlem,Manhattan,40.79282,-73.9374,Private room,2,1.0,,1.0,4.29,4.0,4.43,54,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,30,7
Financial District,Manhattan,40.70813,-74.01004,Private room,2,1.0,,2.0,,,,46,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,30,7
Rosedale,Queens,40.65499649427056,-73.73251195997,Entire home/apt,2,1.0,1.0,1.0,5.0,5.0,4.0,56,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,30,6
Pelham Gardens,Bronx,40.86787,-73.84591,Private room,2,1.0,,1.0,,,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,6
Midtown,Manhattan,40.74641,-73.98842,Entire home/apt,5,1.0,,3.0,4.5,4.45,4.77,43,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,6
Midtown,Manhattan,40.74694,-73.989,Entire home/apt,5,1.0,,3.0,4.55,4.47,4.94,43,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,6
Midtown,Manhattan,40.74772,-73.98868,Entire home/apt,7,1.0,,4.0,4.56,4.59,4.88,43,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,6
Chelsea,Manhattan,40.7457,-73.9914,Entire home/apt,2,,,1.0,4.53,4.8,4.67,31,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,30,7
Gramercy,Manhattan,40.73472,-73.98698,Entire home/apt,2,1.0,1.0,2.0,4.43,4.34,4.89,11,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,6
Rosedale,Queens,40.66062,-73.73704,Entire home/apt,4,1.0,2.0,,4.6,4.4,5.0,37,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,30,6
Kips Bay,Manhattan,40.73973936034882,-73.98046673248358,Entire home/apt,2,1.0,1.0,1.0,5.0,4.86,5.0,49,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,30,8
Bushwick,Brooklyn,40.68435,-73.90791,Private room,2,1.0,,1.0,5.0,4.95,4.95,25,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,4,6
Longwood,Bronx,40.81849701483911,-73.91167243147667,Private room,2,,4.0,,5.0,5.0,5.0,41,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,30,6
Sunset Park,Brooklyn,40.64482,-74.00203,Private room,2,1.0,,1.0,4.74,4.62,4.44,41,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,3,10
Upper East Side,Manhattan,40.77697,-73.95389,Entire home/apt,2,1.0,1.0,1.0,5.0,3.33,5.0,22,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,30,7
Harlem,Manhattan,40.81808,-73.94139,Entire home/apt,2,1.0,1.0,1.0,4.33,4.33,4.33,18,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,30,6
Midtown,Manhattan,40.74625,-73.98707,Entire home/apt,5,1.0,,3.0,,,,30,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,4,1
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,1.0,1.0,,,,,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.69085,-73.94154,Private room,2,1.0,1.0,,3.0,3.0,4.0,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,,1.0,,,,,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,1.0,1.0,,,,,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,1.0,1.0,,5.0,5.0,5.0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Prospect-Lefferts Gardens,Brooklyn,40.65563,-73.95154,Entire home/apt,4,1.0,2.0,2.0,4.87,4.89,4.71,63,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,30,7
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,,1.0,,,,,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,7
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,,1.0,,3.0,4.0,5.0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,1.0,1.0,,4.5,3.0,4.5,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Bedford-Stuyvesant,Brooklyn,40.690853,-73.941544,Private room,2,,1.0,,1.0,3.0,1.0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,6
Flatbush,Brooklyn,40.64123,-73.95407,Entire home/apt,3,1.0,1.0,2.0,,,,43,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,30,6
Sunset Park,Brooklyn,40.66174,-73.99338,Private room,2,1.5,,1.0,4.58,4.45,4.62,17,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,2,6
Crown Heights,Brooklyn,40.67082,-73.95784,Private room,1,2.0,,1.0,4.58,4.83,4.58,27,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,30,1
Fordham,Bronx,40.85781,-73.90198,Private room,2,1.0,,1.0,4.92,4.83,4.83,45,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,30,8
Fordham,Bronx,40.85767,-73.90136,Private room,1,,,1.0,4.82,4.91,4.73,57,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,30,8
Glendale,Queens,40.70417,-73.88415,Private room,2,1.0,,1.0,4.97,4.99,4.77,54,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,2,7
Crown Heights,Brooklyn,40.67185,-73.92132,Private room,2,2.0,,1.0,4.95,4.95,4.6,54,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,30,10
Williamsburg,Brooklyn,40.70835,-73.95636,Private room,1,,1.0,,5.0,5.0,5.0,47,1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,30,6
Crown Heights,Brooklyn,40.669071,-73.95871,Private room,2,2.0,,1.0,4.88,4.75,4.88,27,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,30,1
Fresh Meadows,Queens,40.73414,-73.7818,Private room,2,,,1.0,,,,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,30,6
Upper East Side,Manhattan,40.76978,-73.95121,Entire home/apt,5,1.0,2.0,3.0,4.6,4.4,5.0,31,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,30,7
